pident,length,taxonomy,alignment_proportion
96,600,species,0.15751383567475521
96,600,genus,0.15751383567475521
96,600,family,0.15751383567475521
97,600,species,0.14601958280119198
97,600,genus,0.14601958280119198
97,600,family,0.14601958280119198
98,600,species,0.1336739037888463
98,600,genus,0.1336739037888463
98,600,family,0.1336739037888463
99,600,species,0.11643252447850148
99,600,genus,0.11643252447850148
99,600,family,0.11643252447850148
100,600,species,0.029587058322690506
100,600,genus,0.029587058322690506
100,600,family,0.029587058322690506
90,700,species,0.2656449553001277
90,700,genus,0.2656449553001277
90,700,family,0.2656449553001277
91,700,species,0.24244359301830568
91,700,genus,0.24244359301830568
91,700,family,0.24244359301830568
92,700,species,0.22264793529161345
92,700,genus,0.22264793529161345
92,700,family,0.22264793529161345
93,700,species,0.20200085142613877
93,700,genus,0.20200085142613877
93,700,family,0.20200085142613877
94,700,species,0.1811409110259685
94,700,genus,0.1811409110259685
94,700,family,0.1811409110259685
95,700,species,0.16645381013197105
95,700,genus,0.16645381013197105
95,700,family,0.16645381013197105
96,700,species,0.15517241379310345
96,700,genus,0.15517241379310345
96,700,family,0.15517241379310345
97,700,species,0.1445295870583227
97,700,genus,0.1445295870583227
97,700,family,0.1445295870583227
98,700,species,0.13197105151128138
98,700,genus,0.13197105151128138
98,700,family,0.13197105151128138
99,700,species,0.11472967220093656
99,700,genus,0.11472967220093656
99,700,family,0.11472967220093656
100,700,species,0.02937420178799489
100,700,genus,0.02937420178799489
100,700,family,0.02937420178799489
90,800,species,0.2624521072796935
90,800,genus,0.2624521072796935
90,800,family,0.2624521072796935
91,800,species,0.23967645806726268
91,800,genus,0.23967645806726268
91,800,family,0.23967645806726268
92,800,species,0.21988080034057045
92,800,genus,0.21988080034057045
92,800,family,0.21988080034057045
93,800,species,0.19923371647509577
93,800,genus,0.19923371647509577
93,800,family,0.19923371647509577
94,800,species,0.1781609195402299
94,800,genus,0.1781609195402299
94,800,family,0.1781609195402299
95,800,species,0.16347381864623245
95,800,genus,0.16347381864623245
95,800,family,0.16347381864623245
96,800,species,0.15261813537675606
96,800,genus,0.15261813537675606
96,800,family,0.15261813537675606
97,800,species,0.14282673478075777
97,800,genus,0.14282673478075777
97,800,family,0.14282673478075777
98,800,species,0.1304810557684121
98,800,genus,0.1304810557684121
98,800,family,0.1304810557684121
99,800,species,0.11409110259684972
99,800,genus,0.11409110259684972
99,800,family,0.11409110259684972
100,800,species,0.028309919114516816
100,800,genus,0.028309919114516816
100,800,family,0.028309919114516816
90,900,species,0.25734355044699875
90,900,genus,0.25734355044699875
90,900,family,0.25734355044699875
91,900,species,0.2345679012345679
91,900,genus,0.2345679012345679
91,900,family,0.2345679012345679
92,900,species,0.21519795657726692
92,900,genus,0.21519795657726692
92,900,family,0.21519795657726692
93,900,species,0.19476372924648785
93,900,genus,0.19476372924648785
93,900,family,0.19476372924648785
94,900,species,0.17624521072796934
94,900,genus,0.17624521072796934
94,900,family,0.17624521072796934
95,900,species,0.16198382290336313
95,900,genus,0.16198382290336313
95,900,family,0.16198382290336313
96,900,species,0.15112813963388677
96,900,genus,0.15112813963388677
96,900,family,0.15112813963388677
97,900,species,0.14218816517667093
97,900,genus,0.14218816517667093
97,900,family,0.14218816517667093
98,900,species,0.12984248616432525
98,900,genus,0.12984248616432525
98,900,family,0.12984248616432525
99,900,species,0.1136653895274585
99,900,genus,0.1136653895274585
99,900,family,0.1136653895274585
100,900,species,0.027458492975734355
100,900,genus,0.027458492975734355
100,900,family,0.027458492975734355
90,1000,species,0.25372498935717325
90,1000,genus,0.25372498935717325
90,1000,family,0.25372498935717325
91,1000,species,0.23073648361004684
91,1000,genus,0.23073648361004684
91,1000,family,0.23073648361004684
92,1000,species,0.21179225202213708
92,1000,genus,0.21179225202213708
92,1000,family,0.21179225202213708
93,1000,species,0.19199659429544488
93,1000,genus,0.19199659429544488
93,1000,family,0.19199659429544488
94,1000,species,0.17347807577692634
94,1000,genus,0.17347807577692634
94,1000,family,0.17347807577692634
95,1000,species,0.15964240102171137
95,1000,genus,0.15964240102171137
95,1000,family,0.15964240102171137
96,1000,species,0.14985100042571306
96,1000,genus,0.14985100042571306
96,1000,family,0.14985100042571306
97,1000,species,0.14133673903788846
97,1000,genus,0.14133673903788846
97,1000,family,0.14133673903788846
98,1000,species,0.12899106002554278
98,1000,genus,0.12899106002554278
98,1000,family,0.12899106002554278
99,1000,species,0.11302681992337164
99,1000,genus,0.11302681992337164
99,1000,family,0.11302681992337164
100,1000,species,0.027032779906343125
100,1000,genus,0.027032779906343125
100,1000,family,0.027032779906343125
