pident,length,taxonomy,accuracy
100,700,genus,0.9347826086956522
100,700,family,0.9855072463768116
90,800,species,0.6317923763179237
90,800,genus,0.8118410381184104
90,800,family,0.8953771289537713
91,800,species,0.6527531083481349
91,800,genus,0.8090586145648313
91,800,family,0.8925399644760214
92,800,species,0.6466602129719264
92,800,genus,0.8054211035818006
92,800,family,0.888673765730881
93,800,species,0.6474358974358975
93,800,genus,0.8151709401709402
93,800,family,0.8995726495726496
94,800,species,0.6917562724014337
94,800,genus,0.8602150537634409
94,800,family,0.9438470728793309
95,800,species,0.7291666666666666
95,800,genus,0.9010416666666666
95,800,family,0.9817708333333334
96,800,species,0.7517433751743375
96,800,genus,0.9163179916317992
96,800,family,0.9804741980474198
97,800,species,0.7794336810730254
97,800,genus,0.9195230998509687
97,800,family,0.9836065573770492
98,800,species,0.7879282218597063
98,800,genus,0.9004893964110929
98,800,family,0.9755301794453507
99,800,species,0.8302238805970149
99,800,genus,0.9272388059701493
99,800,family,0.9757462686567164
100,800,species,0.8421052631578947
100,800,genus,0.9323308270676691
100,800,family,0.9849624060150376
90,900,species,0.6319272125723738
90,900,genus,0.8130686517783292
90,900,family,0.8957816377171216
91,900,species,0.6515426497277677
91,900,genus,0.8103448275862069
91,900,family,0.8929219600725953
92,900,species,0.6449060336300693
92,900,genus,0.8061325420375866
92,900,family,0.8892185954500494
93,900,species,0.6437158469945355
93,900,genus,0.8153005464480875
93,900,family,0.9005464480874317
94,900,species,0.6932367149758454
94,900,genus,0.8635265700483091
94,900,family,0.9468599033816425
95,900,species,0.7319316688567674
95,900,genus,0.9027595269382391
95,900,family,0.9829172141918529
96,900,species,0.7535211267605634
96,900,genus,0.9169014084507042
96,900,family,0.9816901408450704
97,900,species,0.7829341317365269
97,900,genus,0.9176646706586826
97,900,family,0.9820359281437125
98,900,species,0.7901639344262295
98,900,genus,0.898360655737705
98,900,family,0.9737704918032787
99,900,species,0.8295880149812734
99,900,genus,0.9250936329588015
99,900,family,0.9737827715355806
100,900,species,0.8449612403100775
100,900,genus,0.937984496124031
100,900,family,0.9844961240310077
90,1000,species,0.6300335570469798
90,1000,genus,0.8137583892617449
90,1000,family,0.8959731543624161
91,1000,species,0.6522140221402214
91,1000,genus,0.8118081180811808
91,1000,family,0.8920664206642066
92,1000,species,0.6452261306532663
92,1000,genus,0.8080402010050252
92,1000,family,0.8884422110552764
93,1000,species,0.6452328159645233
93,1000,genus,0.8170731707317073
93,1000,family,0.9002217294900222
94,1000,species,0.6957055214723926
94,1000,genus,0.8662576687116564
94,1000,family,0.947239263803681
95,1000,species,0.7386666666666667
95,1000,genus,0.9053333333333333
95,1000,family,0.9826666666666667
96,1000,species,0.7585227272727273
96,1000,genus,0.9204545454545454
96,1000,family,0.9815340909090909
97,1000,species,0.786144578313253
97,1000,genus,0.9186746987951807
97,1000,family,0.9819277108433735
98,1000,species,0.7920792079207921
98,1000,genus,0.8993399339933993
98,1000,family,0.9735973597359736
99,1000,species,0.832391713747646
99,1000,genus,0.9265536723163842
99,1000,family,0.9736346516007532
100,1000,species,0.8346456692913385
100,1000,genus,0.9291338582677166
100,1000,family,0.984251968503937
