pident,length,taxonomy,accuracy
97,900,family,0.9850299401197605
98,900,species,0.8868852459016393
98,900,genus,0.9704918032786886
98,900,family,0.9852459016393442
99,900,species,0.8951310861423221
99,900,genus,0.9737827715355806
99,900,family,0.9868913857677902
100,900,species,0.8992248062015504
100,900,genus,0.9844961240310077
100,900,family,0.9922480620155039
90,1000,species,0.7558724832214765
90,1000,genus,0.8598993288590604
90,1000,family,0.9035234899328859
91,1000,species,0.7776752767527675
91,1000,genus,0.8607011070110702
91,1000,family,0.8994464944649446
92,1000,species,0.7758793969849246
92,1000,genus,0.8633165829145729
92,1000,family,0.8954773869346734
93,1000,species,0.7882483370288248
93,1000,genus,0.8802660753880266
93,1000,family,0.9079822616407982
94,1000,species,0.8331288343558282
94,1000,genus,0.9276073619631902
94,1000,family,0.9533742331288344
95,1000,species,0.864
95,1000,genus,0.964
95,1000,family,0.9866666666666667
96,1000,species,0.8650568181818182
96,1000,genus,0.9715909090909091
96,1000,family,0.9857954545454546
97,1000,species,0.8840361445783133
97,1000,genus,0.9759036144578314
97,1000,family,0.9849397590361446
98,1000,species,0.8877887788778878
98,1000,genus,0.971947194719472
98,1000,family,0.9851485148514851
99,1000,species,0.8926553672316384
99,1000,genus,0.9736346516007532
99,1000,family,0.9868173258003766
100,1000,species,0.889763779527559
100,1000,genus,0.9763779527559056
100,1000,family,0.9921259842519685
